student_major,event_type,department,organizer_type,expected_attendance,interest_match_score,skill_match_score,target_major_count,target_interest_count,success
Business,sports,Engineering,club_student,164,0.73,0.21,3,0,1
Medicine,cultural,Sciences,dean_of_faculty,189,0.27,0.15,3,0,1
Law,cultural,Engineering,club_student,92,0.23,0.61,2,0,1
Engineering,hackathon,Medicine,club_event,209,0.51,0.5,4,3,1
Computer Science,seminar,Computer Science,club_event,123,0.34,0.17,1,1,0
Business,workshop,Sciences,dean_of_faculty,255,0.36,0.31,2,5,1
Engineering,career,Arts,club_event,232,0.2,0.3,1,2,1
Engineering,workshop,Business,student_affairs,162,0.5,0.52,2,5,1
Medicine,cultural,Sciences,club_student,35,0.9,0.76,4,2,0
Arts,workshop,Computer Science,student_affairs,35,0.79,0.26,4,5,1
Medicine,social,Medicine,dean_of_faculty,266,0.97,0.52,3,2,1
Engineering,social,Arts,dean_of_faculty,268,0.36,0.95,4,0,1
Education,sports,Arts,club_student,221,0.88,0.84,0,5,1
Architecture,hackathon,Engineering,club_event,280,0.43,0.78,3,0,1
Business,sports,Sciences,dean_of_faculty,77,0.13,0.67,1,5,0
Computer Science,hackathon,Engineering,club_event,73,0.52,0.21,1,3,1
Medicine,sports,Sciences,dean_of_faculty,256,0.32,0.6,3,1,1
Business,seminar,Arts,dean_of_faculty,189,0.94,0.56,0,2,1
Architecture,social,Sciences,dean_of_faculty,191,0.4,0.79,3,3,1
Arts,career,Medicine,dean_of_faculty,134,0.87,0.47,2,5,1
Law,hackathon,Student Affairs,club_event,268,0.97,0.21,4,2,1
Architecture,seminar,Medicine,dean_of_faculty,22,0.75,0.47,1,0,1
Medicine,volunteer,Medicine,dean_of_faculty,56,0.87,0.87,4,3,1
Architecture,workshop,Medicine,club_student,135,0.67,0.93,1,5,1
Engineering,seminar,Sciences,club_event,168,0.91,0.14,0,2,1
Law,social,Business,dean_of_faculty,107,0.25,0.17,3,4,1
Architecture,social,Business,dean_of_faculty,145,0.51,0.7,3,2,1
Business,seminar,Sciences,student_affairs,168,0.68,0.48,2,3,1
Arts,hackathon,Computer Science,dean_of_faculty,69,0.31,0.61,4,2,1
Medicine,workshop,Computer Science,dean_of_faculty,155,0.11,0.88,0,4,1
Medicine,career,Medicine,student_affairs,127,0.67,0.66,1,5,1
Computer Science,sports,Computer Science,dean_of_faculty,32,0.62,0.76,0,2,1
Law,social,Business,club_event,202,0.58,0.92,1,2,1
Architecture,sports,Student Affairs,student_affairs,73,0.52,0.17,1,5,1
Law,volunteer,Engineering,dean_of_faculty,22,0.34,0.21,2,5,0
Medicine,hackathon,Computer Science,student_affairs,70,0.71,0.52,4,4,1
Arts,seminar,Student Affairs,dean_of_faculty,169,0.68,0.21,0,0,1
Architecture,seminar,Engineering,club_event,84,0.45,0.43,4,3,1
Business,hackathon,Student Affairs,club_student,265,0.65,0.95,2,0,1
Arts,cultural,Sciences,club_event,200,0.19,0.72,4,5,1
Law,sports,Business,club_student,247,0.18,0.29,4,0,0
Education,career,Business,club_event,50,0.85,0.6,4,1,1
Arts,volunteer,Computer Science,club_event,16,0.35,0.99,1,4,1
Business,seminar,Student Affairs,club_student,82,0.11,0.81,1,4,1
Business,sports,Engineering,club_event,230,0.57,0.77,3,3,1
Engineering,cultural,Medicine,club_event,37,0.75,0.92,4,2,1
Computer Science,workshop,Sciences,dean_of_faculty,233,0.72,0.54,3,0,1
Education,social,Engineering,club_event,155,0.66,0.63,2,3,1
Medicine,cultural,Medicine,dean_of_faculty,65,0.81,0.2,4,5,1
Law,cultural,Business,dean_of_faculty,188,0.84,0.46,0,2,1
Medicine,volunteer,Business,dean_of_faculty,49,0.18,0.18,3,0,0
Education,social,Medicine,club_student,183,0.7,0.47,3,5,0
Medicine,sports,Arts,club_student,274,0.29,0.69,1,0,1
Education,seminar,Computer Science,student_affairs,130,0.83,0.86,4,4,1
Computer Science,sports,Engineering,club_event,154,0.73,0.38,2,2,0
Business,hackathon,Engineering,club_event,30,0.18,0.58,3,3,0
Business,volunteer,Arts,student_affairs,58,0.9,0.24,4,0,1
Medicine,cultural,Student Affairs,dean_of_faculty,263,0.65,0.47,1,4,1
Law,seminar,Arts,dean_of_faculty,172,0.14,0.46,4,0,0
Medicine,career,Computer Science,club_event,145,0.36,0.21,3,5,1
Business,hackathon,Medicine,club_event,271,0.6,0.7,2,0,1
Computer Science,hackathon,Engineering,dean_of_faculty,54,0.88,0.62,4,3,1
Law,sports,Engineering,dean_of_faculty,25,0.97,0.25,4,3,1
Education,seminar,Sciences,club_student,139,0.49,0.46,0,3,1
Education,career,Arts,club_event,54,0.56,0.2,4,1,1
Education,volunteer,Student Affairs,club_event,135,0.19,0.33,1,4,1
Engineering,social,Computer Science,dean_of_faculty,252,0.78,0.78,3,5,1
Education,volunteer,Business,dean_of_faculty,49,0.52,0.67,2,4,0
Engineering,sports,Sciences,dean_of_faculty,34,0.15,0.85,0,5,1
Engineering,hackathon,Sciences,club_student,245,0.92,0.61,1,2,1
Business,workshop,Sciences,club_student,190,0.98,0.18,1,0,1
Architecture,cultural,Medicine,club_event,201,0.44,0.35,3,2,1
Computer Science,volunteer,Engineering,student_affairs,63,0.6,0.45,2,5,1
Business,volunteer,Engineering,club_event,194,0.38,0.69,3,1,1
Engineering,sports,Medicine,dean_of_faculty,183,0.83,0.7,4,0,1
Law,volunteer,Engineering,student_affairs,173,0.26,0.29,3,1,0
Business,social,Engineering,student_affairs,66,0.56,0.59,4,0,1
Business,hackathon,Business,club_event,107,0.85,0.79,1,5,1
Law,volunteer,Student Affairs,club_event,242,0.65,0.78,3,1,1
Medicine,cultural,Computer Science,club_event,203,0.71,0.61,3,3,1
Law,hackathon,Business,club_event,85,0.89,0.15,3,2,1
Engineering,seminar,Arts,club_student,97,0.35,0.91,1,3,1
Arts,cultural,Arts,club_student,227,0.15,0.55,1,3,1
Education,career,Engineering,student_affairs,65,0.86,0.68,1,1,0
Architecture,social,Computer Science,dean_of_faculty,244,0.65,0.92,0,2,1
Business,hackathon,Engineering,student_affairs,136,0.37,0.14,3,5,1
Architecture,seminar,Engineering,dean_of_faculty,23,0.67,0.62,1,2,1
Education,career,Medicine,dean_of_faculty,110,0.7,0.18,2,0,1
Computer Science,hackathon,Computer Science,dean_of_faculty,37,0.67,0.98,2,5,0
Engineering,volunteer,Business,club_student,185,0.22,0.42,2,5,1
Architecture,cultural,Student Affairs,club_event,84,0.16,0.8,3,0,1
Computer Science,career,Engineering,student_affairs,173,0.56,0.99,4,3,1
Arts,sports,Arts,club_student,184,0.35,0.82,3,3,1
Law,volunteer,Business,dean_of_faculty,269,0.43,0.82,2,0,1
Engineering,hackathon,Medicine,club_event,165,0.39,0.17,2,2,1
Law,social,Student Affairs,dean_of_faculty,194,0.5,0.75,2,4,1
Medicine,workshop,Engineering,dean_of_faculty,201,0.56,0.77,1,0,1
Architecture,workshop,Business,club_student,135,0.8,0.43,3,4,0
Business,cultural,Arts,student_affairs,242,0.79,0.62,4,2,1
Medicine,career,Engineering,club_student,110,0.55,0.45,4,0,1
Medicine,cultural,Business,student_affairs,266,0.28,0.22,0,3,1
Architecture,seminar,Computer Science,student_affairs,192,0.74,0.59,2,2,1
Business,volunteer,Medicine,club_event,77,0.99,0.81,1,3,0
Education,cultural,Computer Science,club_event,59,0.16,0.46,3,4,0
Law,seminar,Business,student_affairs,52,0.5,0.71,2,1,1
Business,social,Sciences,club_student,78,0.57,0.37,1,2,1
Arts,volunteer,Medicine,student_affairs,55,0.33,0.67,4,2,1
Medicine,seminar,Medicine,club_event,93,0.25,0.66,4,2,1
Computer Science,workshop,Engineering,club_student,150,0.69,0.79,3,4,1
Architecture,sports,Student Affairs,student_affairs,262,0.32,0.83,3,2,1
Computer Science,social,Sciences,dean_of_faculty,262,0.52,0.41,1,2,1
Education,volunteer,Sciences,club_event,204,0.56,0.2,1,3,1
Architecture,career,Business,club_student,40,0.36,0.45,4,3,1
Business,volunteer,Medicine,student_affairs,112,0.79,0.55,4,3,1
Medicine,cultural,Engineering,club_student,216,0.55,0.97,1,4,1
Computer Science,sports,Sciences,dean_of_faculty,161,0.58,0.86,3,1,1
Education,hackathon,Arts,club_student,220,0.15,0.61,2,4,1
Law,cultural,Computer Science,student_affairs,75,0.22,0.19,2,2,0
Education,social,Business,dean_of_faculty,271,0.14,0.14,2,3,1
Business,social,Arts,student_affairs,98,0.45,0.65,2,4,1
Architecture,sports,Sciences,club_student,203,0.4,0.2,3,4,1
Computer Science,cultural,Arts,club_event,41,0.63,0.25,4,3,1
Arts,workshop,Medicine,club_student,112,0.12,0.38,1,3,0
Law,cultural,Computer Science,club_student,85,0.57,0.6,3,4,1
Business,cultural,Medicine,student_affairs,196,0.71,0.88,2,4,1
Arts,sports,Medicine,student_affairs,130,0.95,0.98,2,5,1
Architecture,volunteer,Sciences,student_affairs,155,0.36,0.62,4,3,1
Law,volunteer,Computer Science,club_event,163,0.14,0.96,0,2,1
Medicine,cultural,Business,club_event,153,0.94,0.73,1,0,1
Arts,career,Engineering,club_event,134,0.15,0.47,3,0,0
Business,workshop,Medicine,club_event,223,0.69,0.89,3,3,1
Medicine,volunteer,Arts,club_student,60,0.69,0.31,0,1,1
Business,workshop,Computer Science,dean_of_faculty,268,0.27,0.77,2,0,0
Engineering,volunteer,Arts,dean_of_faculty,267,0.9,0.22,4,3,1
Engineering,volunteer,Business,dean_of_faculty,146,0.75,0.11,2,2,1
Arts,social,Medicine,dean_of_faculty,233,0.56,0.18,0,1,1
Architecture,volunteer,Business,club_student,148,0.45,0.5,2,2,1
Computer Science,sports,Student Affairs,student_affairs,135,0.16,0.21,2,1,0
Medicine,seminar,Student Affairs,student_affairs,203,0.65,0.3,1,3,1
Education,hackathon,Student Affairs,dean_of_faculty,126,0.79,0.71,4,0,1
Education,seminar,Medicine,club_student,46,0.85,0.91,1,4,1
Business,volunteer,Computer Science,dean_of_faculty,74,0.71,0.75,3,0,1
Architecture,workshop,Sciences,club_event,277,0.47,0.61,4,3,1
Medicine,workshop,Sciences,student_affairs,16,0.77,0.62,0,3,1
Engineering,workshop,Engineering,dean_of_faculty,31,0.36,0.26,1,5,1
Law,volunteer,Sciences,dean_of_faculty,208,0.44,0.71,4,1,1
Education,seminar,Business,dean_of_faculty,80,0.76,0.3,0,0,1
Architecture,hackathon,Medicine,dean_of_faculty,132,0.32,0.41,2,1,1
Engineering,workshop,Computer Science,dean_of_faculty,23,0.32,0.16,4,0,0
Computer Science,career,Student Affairs,club_student,220,0.5,0.59,0,1,1
Medicine,career,Computer Science,student_affairs,179,0.31,0.89,4,1,1
Medicine,workshop,Medicine,club_event,233,0.6,0.14,2,5,1
Education,hackathon,Sciences,club_event,168,0.44,0.78,3,1,1
Medicine,social,Computer Science,dean_of_faculty,44,0.61,0.97,4,4,1
Arts,sports,Business,student_affairs,55,0.93,0.86,0,4,1
Arts,workshop,Arts,dean_of_faculty,35,0.89,0.27,4,5,1
Arts,cultural,Business,student_affairs,170,0.96,0.11,1,5,1
Architecture,career,Student Affairs,club_event,218,0.92,0.6,2,3,1
Education,sports,Arts,student_affairs,277,0.89,0.52,3,2,1
Education,volunteer,Sciences,club_student,128,0.77,0.11,4,4,1
Law,sports,Business,club_event,183,0.31,0.61,1,3,1
Education,sports,Computer Science,dean_of_faculty,266,0.51,0.76,2,1,1
Architecture,social,Medicine,club_student,32,0.86,0.17,0,0,1
Arts,seminar,Student Affairs,club_event,19,0.3,0.51,0,4,0
Architecture,cultural,Engineering,club_student,225,0.11,0.58,2,4,1
Computer Science,hackathon,Computer Science,club_event,69,0.93,0.57,1,1,1
Medicine,volunteer,Arts,dean_of_faculty,55,0.44,0.47,4,1,1
Arts,sports,Student Affairs,club_student,31,0.18,0.44,4,3,0
Computer Science,social,Engineering,dean_of_faculty,237,0.68,0.4,0,4,1
Arts,career,Computer Science,dean_of_faculty,153,0.14,0.17,2,4,0
Computer Science,social,Computer Science,student_affairs,23,0.97,0.63,3,0,1
Arts,hackathon,Student Affairs,student_affairs,211,0.78,0.23,0,4,1
Education,workshop,Engineering,dean_of_faculty,133,0.85,0.41,4,4,1
Education,workshop,Student Affairs,student_affairs,245,0.54,0.42,3,3,1
Law,seminar,Computer Science,student_affairs,141,0.74,0.17,1,3,1
Business,hackathon,Arts,student_affairs,69,0.18,0.95,3,2,1
Engineering,social,Engineering,club_event,235,0.5,0.6,3,0,0
Education,seminar,Medicine,student_affairs,212,0.11,0.47,0,5,1
Arts,social,Student Affairs,dean_of_faculty,101,0.22,0.37,3,1,1
Law,sports,Sciences,student_affairs,262,0.8,0.43,1,5,1
Arts,cultural,Engineering,club_event,170,0.11,0.46,4,3,1
Education,cultural,Arts,dean_of_faculty,84,0.37,0.64,1,3,1
Law,volunteer,Arts,dean_of_faculty,139,0.39,0.35,3,2,1
Arts,social,Student Affairs,club_student,251,0.95,0.29,2,5,1
Law,cultural,Business,student_affairs,138,0.33,0.24,3,3,1
Architecture,hackathon,Medicine,dean_of_faculty,33,0.81,0.42,4,4,1
Engineering,seminar,Computer Science,club_event,196,0.25,0.65,4,5,1
Law,volunteer,Computer Science,dean_of_faculty,69,0.11,0.33,4,5,0
Arts,cultural,Arts,dean_of_faculty,252,0.8,0.63,4,1,1
Computer Science,cultural,Engineering,student_affairs,227,0.93,0.18,1,2,1
Architecture,career,Medicine,dean_of_faculty,193,0.53,0.49,3,2,1
Computer Science,seminar,Engineering,student_affairs,70,0.71,0.25,1,4,1
Business,volunteer,Medicine,dean_of_faculty,251,0.31,0.46,1,1,1
Law,hackathon,Engineering,club_event,245,0.63,0.45,1,1,1
Engineering,seminar,Computer Science,club_event,202,0.39,0.51,2,5,1
Education,hackathon,Medicine,dean_of_faculty,73,0.41,0.86,4,1,1
Medicine,seminar,Student Affairs,club_event,175,0.21,0.37,1,2,1
Law,hackathon,Medicine,club_event,211,0.48,0.54,4,5,1
Business,social,Sciences,student_affairs,86,0.27,0.86,4,0,1
Computer Science,cultural,Business,club_event,211,0.97,0.55,3,3,1
Law,cultural,Sciences,club_event,57,0.61,0.82,1,2,0
Arts,sports,Business,dean_of_faculty,268,0.59,0.2,0,2,1
Education,workshop,Computer Science,dean_of_faculty,126,0.99,0.19,1,2,1
Computer Science,cultural,Arts,student_affairs,59,0.5,0.99,1,1,1
Education,hackathon,Business,club_event,120,0.83,0.82,4,2,1
Business,volunteer,Student Affairs,student_affairs,163,0.62,0.96,4,5,1
Business,hackathon,Engineering,student_affairs,79,0.73,0.22,1,5,1
Arts,hackathon,Sciences,club_event,152,0.67,0.44,0,5,1
Engineering,hackathon,Medicine,student_affairs,203,0.51,0.54,4,0,1
Engineering,cultural,Student Affairs,student_affairs,47,0.82,0.46,3,1,1
Education,sports,Arts,club_event,263,0.81,0.9,0,0,1
Architecture,workshop,Engineering,club_event,240,0.51,0.99,3,1,1
Business,sports,Business,student_affairs,62,0.69,0.33,2,5,1
Business,workshop,Sciences,student_affairs,134,0.49,0.18,0,0,1
Engineering,social,Medicine,club_event,280,0.71,0.11,2,0,1
Law,social,Sciences,club_student,132,0.44,0.76,0,0,1
Medicine,social,Sciences,club_event,88,0.16,0.61,4,5,1
Education,career,Student Affairs,club_event,225,0.65,0.5,1,0,1
Business,seminar,Medicine,dean_of_faculty,194,0.97,0.38,1,1,1
Engineering,career,Medicine,student_affairs,28,0.86,0.69,2,1,1
Arts,hackathon,Arts,club_student,137,0.55,0.2,3,5,1
Computer Science,volunteer,Arts,club_event,213,0.87,0.61,2,4,1
Architecture,seminar,Engineering,club_student,22,0.34,0.14,0,3,0
Law,hackathon,Student Affairs,dean_of_faculty,57,0.68,0.58,1,2,1
Engineering,career,Computer Science,club_event,182,0.45,0.67,0,2,1
Arts,workshop,Business,club_student,237,0.2,0.65,0,2,1
Business,seminar,Engineering,club_event,20,0.25,0.96,4,4,0
Medicine,social,Arts,club_event,152,0.76,0.21,0,2,1
Medicine,seminar,Arts,club_student,269,0.51,0.42,3,4,1
Business,sports,Computer Science,club_student,74,0.31,0.56,0,0,1
Architecture,volunteer,Sciences,club_event,106,0.94,0.87,4,5,1
Law,career,Arts,club_event,228,0.92,0.39,0,4,1
Computer Science,social,Business,club_student,220,0.16,0.52,2,2,1
Architecture,workshop,Arts,club_event,164,0.61,0.37,4,1,1
Architecture,career,Student Affairs,club_event,92,0.11,0.47,1,4,0
Computer Science,volunteer,Engineering,dean_of_faculty,172,0.19,0.58,1,3,1
Computer Science,social,Student Affairs,student_affairs,62,0.14,0.31,4,3,0
Education,cultural,Student Affairs,club_student,63,0.55,0.67,3,0,1
Computer Science,hackathon,Student Affairs,club_event,136,0.36,0.87,3,5,1
Education,volunteer,Sciences,student_affairs,134,0.17,0.28,4,0,0
Business,cultural,Sciences,student_affairs,223,0.21,0.42,1,3,1
Medicine,seminar,Engineering,club_event,170,0.84,0.73,0,1,1
Education,social,Engineering,club_event,197,0.46,0.14,2,2,1
Business,workshop,Sciences,dean_of_faculty,142,0.19,0.19,1,0,1
Arts,social,Business,dean_of_faculty,205,0.72,0.94,0,4,1
Engineering,workshop,Engineering,club_event,242,0.83,0.18,2,0,0
Architecture,workshop,Business,dean_of_faculty,217,0.55,0.44,3,1,1
Business,sports,Arts,dean_of_faculty,91,0.13,0.66,1,5,1
Law,cultural,Engineering,club_student,158,0.44,0.48,4,1,1
Computer Science,hackathon,Computer Science,student_affairs,260,0.59,0.54,4,4,1
Medicine,social,Engineering,student_affairs,127,0.13,0.83,2,0,1
Architecture,volunteer,Computer Science,club_event,96,0.19,0.69,2,4,1
Computer Science,career,Medicine,dean_of_faculty,196,0.94,0.99,1,1,1
Education,volunteer,Medicine,club_student,195,0.95,0.61,4,1,1
Architecture,sports,Business,dean_of_faculty,34,0.18,0.31,1,0,0
Computer Science,volunteer,Medicine,club_event,81,0.41,0.26,2,0,1
Business,seminar,Computer Science,student_affairs,52,0.44,0.95,3,4,1
Medicine,volunteer,Business,club_event,238,0.81,0.96,2,1,1
Education,career,Student Affairs,club_event,208,0.38,0.72,1,1,1
Law,workshop,Business,student_affairs,128,0.68,0.19,3,1,1
Engineering,career,Arts,student_affairs,100,0.67,0.97,2,3,0
Arts,career,Student Affairs,club_student,194,0.33,0.2,0,0,1
Law,social,Sciences,dean_of_faculty,208,0.42,0.44,3,4,1
Arts,social,Sciences,club_student,32,0.37,0.39,0,0,1
Law,social,Student Affairs,club_student,62,0.4,0.99,3,5,0
Business,hackathon,Business,club_student,66,0.4,0.98,3,5,1
Medicine,sports,Arts,club_event,64,0.14,0.61,3,1,1
Computer Science,hackathon,Engineering,student_affairs,260,0.28,0.12,1,5,1
Engineering,cultural,Computer Science,club_student,172,0.81,0.52,2,0,1
Law,social,Arts,dean_of_faculty,204,0.27,0.14,3,3,1
Medicine,workshop,Business,club_student,58,0.7,0.83,3,4,1
Computer Science,hackathon,Computer Science,dean_of_faculty,258,0.62,0.31,2,0,1
Computer Science,social,Engineering,dean_of_faculty,103,0.95,0.25,1,1,1
Law,seminar,Student Affairs,dean_of_faculty,118,1.0,0.66,4,2,1
Engineering,seminar,Sciences,dean_of_faculty,181,0.87,0.57,0,5,1
Law,seminar,Sciences,club_event,90,0.61,0.62,0,0,1
Engineering,sports,Computer Science,student_affairs,225,0.34,0.69,4,4,1
Business,sports,Sciences,club_event,220,0.13,0.9,2,5,1
Architecture,sports,Arts,club_student,187,0.84,0.37,2,3,1
Engineering,career,Business,student_affairs,241,0.8,0.39,3,4,1
Arts,cultural,Business,dean_of_faculty,263,0.78,0.88,0,4,1
Engineering,sports,Student Affairs,dean_of_faculty,84,0.8,0.57,4,0,1
Arts,workshop,Business,club_student,248,0.15,0.42,1,2,1
Architecture,hackathon,Student Affairs,club_student,30,0.32,0.54,3,1,0
Architecture,volunteer,Arts,club_event,147,0.77,0.72,2,0,1
Business,career,Computer Science,club_event,130,0.71,0.34,3,4,0
Computer Science,cultural,Business,club_event,19,0.3,0.65,2,5,0
Medicine,hackathon,Sciences,student_affairs,250,0.33,0.52,4,4,1
Engineering,workshop,Medicine,student_affairs,159,0.37,0.2,0,2,1
Education,sports,Arts,student_affairs,111,0.23,0.79,0,4,1
Education,social,Student Affairs,club_student,269,1.0,0.33,3,3,1
Computer Science,career,Arts,club_event,258,0.92,0.7,4,2,1
Business,sports,Engineering,dean_of_faculty,80,0.77,0.75,4,1,1
Education,seminar,Business,student_affairs,129,0.77,0.38,2,2,1
Medicine,cultural,Computer Science,club_student,255,0.15,0.67,4,4,1
Arts,seminar,Computer Science,dean_of_faculty,167,0.47,0.88,1,1,1
Education,hackathon,Medicine,dean_of_faculty,88,0.38,0.74,0,3,1
Business,volunteer,Student Affairs,club_student,17,0.51,0.29,1,4,0
Architecture,seminar,Business,dean_of_faculty,234,0.46,0.97,3,0,0
Arts,volunteer,Engineering,student_affairs,112,0.12,0.1,1,1,0
Education,sports,Business,club_student,211,0.55,0.38,0,0,1
Medicine,cultural,Student Affairs,student_affairs,237,0.9,1.0,2,3,1
Arts,social,Computer Science,dean_of_faculty,24,0.31,0.75,1,1,0
Business,seminar,Arts,club_student,207,0.89,0.33,4,4,0
Computer Science,seminar,Student Affairs,club_student,39,0.72,0.48,3,0,1
Architecture,social,Business,club_student,169,0.48,0.19,4,2,1
Business,hackathon,Computer Science,club_student,276,0.75,0.21,0,0,1
Arts,sports,Computer Science,club_event,198,0.73,0.37,0,4,1
Arts,cultural,Arts,club_event,16,0.11,0.18,0,4,0
Business,seminar,Computer Science,club_student,66,0.91,0.68,3,2,1
Computer Science,seminar,Computer Science,club_event,35,0.87,0.42,2,3,1
Engineering,workshop,Engineering,club_event,102,0.4,0.91,4,2,1
Engineering,volunteer,Computer Science,student_affairs,108,0.2,0.46,3,2,1
Architecture,hackathon,Student Affairs,club_event,72,0.22,0.75,1,0,0
Architecture,cultural,Business,dean_of_faculty,198,0.65,0.88,1,3,1
Engineering,hackathon,Sciences,club_student,47,0.34,0.38,4,5,1
Arts,volunteer,Medicine,club_student,236,0.7,0.32,2,5,1
Law,social,Computer Science,club_student,20,0.68,0.24,3,3,1
Engineering,cultural,Arts,club_event,184,0.97,0.15,1,4,1
Law,career,Engineering,dean_of_faculty,242,0.82,0.5,3,3,1
Architecture,workshop,Engineering,dean_of_faculty,226,0.13,0.59,0,4,1
Medicine,career,Student Affairs,dean_of_faculty,189,0.43,0.15,1,3,1
Architecture,volunteer,Student Affairs,dean_of_faculty,73,0.19,0.69,0,2,0
Medicine,volunteer,Student Affairs,club_student,38,0.91,0.54,3,0,1
Arts,career,Engineering,dean_of_faculty,125,0.51,0.8,2,0,1
Computer Science,seminar,Computer Science,dean_of_faculty,249,0.69,0.96,1,3,0
Computer Science,hackathon,Computer Science,dean_of_faculty,275,0.8,0.92,4,1,1
